Name,Edited,Attachments
Module 7: Lab 7.1 - Remediating an Incident by Using AWS Config and Lambda,"June 16, 2026 4:05 PM",
"Module 7: Best practices for handling an incident ","June 16, 2026 2:49 PM",
Module 7: AWS services that support the resolution and recovery phase,"June 16, 2026 1:59 PM",
"Module 7: AWS services that support the discovery and recognition phase ","June 16, 2026 1:15 PM",
Module 7: Identifying an incident,"June 16, 2026 12:52 PM",
Module 7: Responding to and Managing an Incident,"June 16, 2026 12:34 PM",
Module 6: Lab 6.1 - Monitoring and Alerting with CloudTrail and CloudWatch,"June 16, 2026 11:38 AM",
Module 6: Additional AWS services for logging and monitornig,"June 16, 2026 11:24 AM",
Module 6: Best practices for logging and monitoring,"June 16, 2026 11:01 AM",
Module 6: Monitor and report,"June 16, 2026 10:52 AM",
"Module 6: AWS services with built-in logs ","June 16, 2026 10:37 AM",
Module 6: Capture and collect,"June 16, 2026 10:26 AM",
Module 6: Importance of logging and monitoring,"June 16, 2026 10:06 AM",
"Module 6: Logging and Monitoring ","June 16, 2026 9:52 AM",
Module 5: Lab 5.1 - Encrypting Data at Rest by Using AWS KMS,"June 15, 2026 7:36 PM",
"Module 5: Additional data protection services ","June 15, 2026 7:32 PM",
Module 5: Best practices to protect data in Amazon S3,"June 15, 2026 6:33 PM",
Module 5: Protect data in transit,"June 15, 2026 6:11 PM",
Module 5: Protection through encryption,"June 12, 2026 3:55 PM",
Module 5: Amazon S3 protection features,"June 12, 2026 3:11 PM",
Module 5: Protect data at rest,"June 12, 2026 2:16 PM",
Module 5: Protecting Data in your Application,"June 12, 2026 11:24 AM",
Module 4: Lab 4.1 - Securing VPC Resources by Using Security Groups,"June 12, 2026 9:38 AM",
Module 4: Protecting your compute resources,"June 11, 2026 3:44 PM",
Module 4: Pulling it all together,"June 11, 2026 3:10 PM",
Module 4: Using AWS Load Balancers,"June 11, 2026 3:01 PM",
"Module 4: Using AWS Network ACLs ","June 11, 2026 1:17 PM",
Module 4: Using AWS security groups,"June 11, 2026 12:14 PM",
"Module 4: Setting up public and private subnets and internet protocols ","June 11, 2026 11:56 AM",
"Module 4: Using a VPC ","June 11, 2026 11:22 AM",
Module 4: Structure of three-tier web application,"June 11, 2026 11:12 AM",
Module 3: Using AWS Organizations,"June 11, 2026 11:04 AM",
"Module 4: Securing your Infrastructure ","June 11, 2026 11:04 AM",
Module 3: Lab 3.1 - Using Resource-Based Policies to Secure an S3 Bucket,"June 11, 2026 10:45 AM",
"Module 3: Additional authentication and access management services ","June 11, 2026 9:38 AM",
Module 3: Examples of authorizing with IAM,"June 10, 2026 2:32 PM",
Module 3: Authorizing with IAM,"June 10, 2026 1:29 PM",
Module 3: Authenticating with IAM,"June 10, 2026 12:43 PM",
Module 3: IAM fundamentals,"June 10, 2026 12:21 PM",
"Module 3: Securing Access to Cloud Resources ","June 10, 2026 12:01 PM",
Module 2: Shared responsibility model,"June 10, 2026 11:40 AM",
Module 2: Security Design Principles,"June 10, 2026 10:26 AM",
Module 2: Security in the AWS Cloud,"June 9, 2026 4:32 PM",
"Module 2: Security on AWS ","June 9, 2026 3:13 PM",
Module 1: Course Overview,"June 9, 2026 3:05 PM",